;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;sales
46;40.0;0.55;2;147;3;0;1;0;support
47;56.99999999999999;0.7;3;273;6;0;1;0;support
48;40.0;0.54;2;148;3;0;1;0;support
49;43.0;0.47;2;147;3;0;1;0;support
50;13.0;0.78;6;152;2;0;1;0;support
51;44.0;0.55;2;135;3;0;1;0;support
52;38.0;0.55;2;134;3;0;1;0;support
53;39.0;0.54;2;132;3;0;1;0;support
54;10.0;0.92;7;307;4;0;1;0;support
55;37.0;0.46;2;140;3;0;1;0;support
56;11.0;0.94;7;255;4;0;1;0;support
57;10.0;0.81;6;309;4;0;1;0;technical
58;38.0;0.54;2;128;3;0;1;0;technical
59;85.0;1.0;4;225;5;0;1;0;technical
60;85.0;0.91;5;226;5;0;1;0;management
61;11.0;0.93;7;308;4;0;1;0;IT
62;10.0;0.95;6;244;5;0;1;0;IT
63;36.0;0.56;2;132;3;0;1;0;IT
64;11.0;0.94;6;286;4;0;1;0;IT
65;81.0;0.7;6;161;4;0;1;0;IT
66;43.0;0.54;2;153;3;0;1;0;product_mng
67;90.0;0.98;4;264;6;0;1;0;product_mng
68;76.0;0.86;5;223;5;1;1;0;product_mng
69;43.0;0.5;2;135;3;0;1;0;product_mng
70;74.0;0.99;2;277;3;0;1;0;IT
71;9.0;0.77;5;275;4;0;1;0;product_mng
72;45.0;0.49;2;149;3;0;1;0;product_mng
73;9.0;0.87;7;295;4;0;1;0;product_mng
74;11.0;0.97;6;277;4;0;1;0;product_mng
75;11.0;0.79;7;306;4;0;1;0;product_mng
76;10.0;0.83;6;295;4;0;1;0;product_mng
77;40.0;0.54;2;137;3;0;1;0;marketing
78;43.0;0.56;2;157;3;0;1;0;sales
79;39.0;0.56;2;142;3;0;1;0;accounting
80;45.0;0.54;2;140;3;0;1;0;support
81;38.0;0.49;2;151;3;0;1;0;technical
82;79.0;0.59;4;139;3;0;1;1;management
83;84.0;0.85;4;249;6;0;1;0;marketing
84;11.0;0.77;6;291;4;0;1;0;marketing
85;11.0;0.87;6;305;4;0;1;0;marketing
86;17.0;0.84;5;232;3;0;1;0;sales
87;44.0;0.45;2;132;3;0;1;0;sales
88;37.0;0.57;2;130;3;0;1;0;sales
89;10.0;0.79;6;291;4;0;1;0;sales
90;40.0;0.5;2;130;3;0;1;0;sales
91;89.0;1.0;5;246;5;0;1;0;sales
92;42.0;0.48;2;143;3;0;1;0;sales
93;46.0;0.55;2;129;3;0;1;0;sales
94;9.0;0.83;6;255;4;0;1;0;sales
95;37.0;0.51;2;155;3;0;1;0;sales
96;10.0;0.77;6;265;4;0;1;0;sales
97;10.0;0.84;6;279;4;0;1;0;sales
98;11.0;0.97;6;284;4;0;1;0;sales
99;90.0;1.0;5;221;6;0;1;0;sales
100;38.0;0.52;2;154;3;0;1;0;sales
101;36.0;0.52;2;147;3;0;1;0;sales
102;42.0;0.46;2;150;3;0;1;0;sales
103;9.0;0.94;7;267;4;0;1;0;sales
104;43.0;0.52;2;158;3;0;1;0;sales
105;24.0;0.46;7;224;5;0;1;0;accounting
106;91.0;1.0;4;257;5;0;1;0;accounting
107;44.0;0.5;2;148;3;0;1;0;accounting
108;71.0;0.87;3;177;4;0;1;0;hr
109;40.0;0.49;2;155;3;0;1;0;hr
110;43.0;0.47;2;144;3;0;1;0;hr
111;9.0;0.85;6;289;4;0;1;0;hr
112;43.0;0.52;2;160;3;0;1;0;technical
113;90.0;0.96;4;258;5;0;1;0;technical
114;84.0;1.0;5;234;5;0;1;0;technical
115;37.0;0.48;2;137;3;0;1;0;technical
116;86.0;0.68;5;263;2;0;1;0;technical
117;11.0;0.84;6;251;4;0;1;0;technical
118;37.0;0.57;2;133;3;0;1;0;technical
119;40.0;0.46;2;132;3;0;1;0;technical
120;14.000000000000002;0.62;4;158;4;1;1;0;technical
121;40.0;0.46;2;135;3;0;1;0;technical
122;75.0;1.0;4;216;6;0;1;0;technical
123;11.0;0.84;6;300;5;1;1;0;support
124;46.0;0.49;2;138;3;0;1;0;support
125;11.0;0.92;6;260;4;0;1;0;support
126;38.0;0.49;2;132;3;0;1;0;support
127;70.0;0.89;3;183;5;0;1;0;support
128;9.0;0.82;6;250;4;0;1;0;support
129;37.0;0.45;2;151;3;0;1;0;support
130;10.0;0.83;6;292;4;0;1;0;support
131;38.0;0.57;2;140;3;0;1;0;support
132;90.0;1.0;5;221;5;0;1;0;support
133;44.0;0.51;2;138;3;0;1;0;support
134;36.0;0.5;2;132;3;0;1;0;technical
135;31.0;0.84;7;133;5;0;1;0;technical
136;10.0;0.84;6;283;4;1;1;0;technical
137;42.0;0.48;2;129;3;0;1;0;management
138;74.0;1.0;4;249;5;0;1;0;IT
139;73.0;0.87;5;257;5;0;1;0;IT
140;9.0;0.96;6;245;4;0;1;0;IT
141;45.0;0.53;2;155;3;0;1;0;IT
142;11.0;0.8;6;256;4;0;1;0;IT
143;37.0;0.47;2;152;3;0;1;0;product_mng
144;84.0;0.99;4;267;5;0;1;0;product_mng
145;41.0;0.46;2;151;3;0;1;0;product_mng
146;76.0;0.92;4;239;5;0;1;0;product_mng
147;11.0;0.87;6;306;4;0;1;0;IT
148;84.0;0.88;4;263;5;1;1;0;marketing
149;39.0;0.5;2;147;3;0;1;0;marketing
150;11.0;0.91;6;278;4;0;1;0;marketing
151;45.0;0.56;2;154;3;0;1;0;marketing
152;37.0;0.52;2;143;3;0;1;0;marketing
153;40.0;0.52;2;155;3;0;1;0;marketing
154;39.0;0.48;2;160;3;0;1;0;sales
155;11.0;0.8;6;304;4;0;1;0;accounting
156;83.0;1.0;5;240;5;0;1;0;support
157;11.0;0.92;6;305;4;0;1;0;technical
158;39.0;0.5;2;136;3;0;1;0;management
159;45.0;0.45;2;132;3;0;1;0;marketing
160;10.0;0.95;7;301;4;0;1;0;marketing
161;90.0;0.98;5;243;6;0;1;0;marketing
162;45.0;0.51;2;147;3;0;1;0;sales
163;79.0;0.89;5;239;5;0;1;0;sales
164;90.0;0.99;5;260;5;0;1;0;sales
165;11.0;0.84;7;296;4;0;1;0;sales
166;43.0;0.55;2;129;3;0;1;0;sales
167;31.0;0.54;5;132;5;0;1;0;sales
168;32.0;0.5;2;135;5;0;1;0;sales
169;45.0;0.57;2;158;3;0;1;0;sales
170;81.0;0.99;4;259;5;0;1;0;sales
171;41.0;0.46;2;160;3;0;1;1;sales
172;11.0;0.78;7;278;4;0;1;0;sales
173;10.0;0.88;6;284;4;0;1;0;sales
174;70.0;0.53;2;274;4;0;1;0;sales
175;54.0;0.74;4;164;2;0;1;0;sales
176;41.0;0.48;2;148;3;0;1;0;sales
177;38.0;0.5;2;140;3;0;1;0;sales
178;37.0;0.51;2;127;3;0;1;0;sales
179;11.0;0.85;6;308;5;0;1;0;sales
180;40.0;0.47;2;146;3;0;1;0;sales
181;10.0;0.84;6;261;4;0;1;0;accounting
182;89.0;0.99;5;257;5;0;1;0;accounting
183;11.0;0.8;6;285;4;0;1;0;accounting
184;36.0;0.55;2;141;3;0;1;0;hr
185;40.0;0.46;2;127;3;0;1;0;hr
186;9.0;0.85;6;297;4;0;1;0;hr
187;40.0;0.46;2;143;3;0;1;0;hr
188;37.0;0.55;2;152;3;0;1;0;technical
189;44.0;0.51;2;156;3;0;1;0;technical
190;9.0;0.8;7;283;5;0;1;0;technical
191;92.0;0.87;4;226;6;1;1;0;technical
192;74.0;0.91;4;232;5;0;1;0;technical
193;9.0;0.82;6;249;4;0;1;0;technical
194;89.0;0.95;4;275;5;0;1;0;technical
195;9.0;0.8;6;304;4;0;1;0;technical
196;27.0;0.54;7;278;3;0;1;0;technical
197;10.0;0.91;6;287;4;0;1;0;technical
198;10.0;0.89;7;285;4;0;1;0;technical
199;77.0;0.94;5;226;6;0;1;0;support
200;90.0;0.82;5;259;5;0;1;0;support
201;39.0;0.5;2;135;3;0;1;0;support
202;76.0;1.0;5;219;5;0;1;0;support
203;10.0;0.93;6;256;4;0;1;0;support
204;87.0;0.9;5;254;6;0;1;0;support
205;38.0;0.5;2;153;3;0;1;0;support
206;77.0;0.99;5;228;5;0;1;0;support
207;78.0;0.87;4;228;5;0;1;0;support
208;44.0;0.5;2;128;3;0;1;0;support
209;38.0;0.52;2;153;3;0;1;0;support
210;43.0;0.46;2;156;3;0;1;0;technical
211;39.0;0.5;4;294;3;0;1;0;technical
212;88.0;1.0;5;219;5;0;1;0;technical
213;45.0;0.46;2;153;3;0;1;0;management
214;40.0;0.53;2;151;3;0;1;0;IT
215;36.0;0.51;2;155;3;0;1;0;IT
216;36.0;0.48;2;158;3;0;1;0;IT
217;90.0;0.98;5;245;5;0;1;0;IT
218;43.0;0.53;2;131;3;0;1;0;IT
219;89.0;0.87;5;225;5;0;1;0;product_mng
220;10.0;0.84;6;286;4;0;1;0;product_mng
221;37.0;0.5;2;135;3;0;1;0;product_mng
222;37.0;0.51;2;153;3;0;1;0;product_mng
223;87.0;0.9;5;252;5;0;1;0;IT
224;40.0;0.56;2;149;3;0;1;0;accounting
225;90.0;0.97;4;258;5;0;1;0;accounting
226;37.0;0.46;2;158;3;0;1;0;hr
227;44.0;0.54;2;149;3;0;1;0;hr
228;85.0;0.95;5;236;5;0;1;0;hr
229;78.0;0.98;5;239;6;0;1;0;marketing
230;42.0;0.47;2;159;3;0;1;0;marketing
231;92.0;0.99;5;255;6;0;1;0;sales
232;11.0;0.83;6;244;4;0;1;0;accounting
233;42.0;0.56;2;134;3;0;1;0;support
234;48.0;0.57;4;270;4;0;1;0;technical
235;83.0;0.85;4;255;5;0;1;0;management
236;40.0;0.53;2;151;3;0;1;0;marketing
237;43.0;0.45;2;135;3;0;1;0;marketing
238;43.0;0.53;2;146;3;0;1;0;marketing
239;10.0;0.97;7;254;4;0;1;0;sales
240;10.0;0.87;7;289;4;0;1;0;sales
241;37.0;0.46;2;156;3;0;1;0;sales
242;38.0;0.53;2;156;3;0;1;0;sales
243;40.0;0.5;2;128;3;0;1;0;sales
244;89.0;0.86;5;275;5;0;1;0;sales
245;45.0;0.46;2;155;3;0;1;0;sales
246;37.0;0.48;2;159;3;0;1;0;sales
247;46.0;0.49;2;148;3;0;1;0;sales
248;87.0;0.91;4;228;5;0;1;0;sales
249;11.0;0.84;6;298;4;0;1;0;sales
250;79.0;0.87;5;261;5;0;1;0;sales
251;79.0;0.92;5;254;6;0;1;0;sales
252;19.0;0.59;7;192;3;0;1;0;sales
253;87.0;0.98;4;248;5;0;1;0;sales
254;60.0;0.92;2;258;5;0;1;0;sales
255;44.0;0.45;2;156;3;0;1;0;sales
256;11.0;0.81;6;266;4;1;1;0;sales
257;42.0;0.54;2;156;3;0;1;0;sales
258;88.0;0.88;5;232;5;1;1;0;accounting
259;11.0;0.84;6;287;4;0;1;0;accounting
260;46.0;0.46;2;154;3;0;1;0;accounting
261;82.0;0.97;5;263;5;0;1;0;hr
262;44.0;0.56;2;131;3;0;1;0;hr
263;11.0;0.78;6;260;4;0;1;0;hr
264;42.0;0.5;2;139;3;0;1;0;hr
265;84.0;0.93;4;251;5;0;1;0;technical
266;11.0;0.95;6;286;4;0;1;0;technical
267;45.0;0.53;2;129;3;0;1;0;technical
268;38.0;0.56;2;156;3;0;1;0;technical
269;38.0;0.86;6;139;6;0;1;0;technical
270;44.0;0.51;2;127;3;0;1;0;technical
271;11.0;0.84;6;251;4;0;1;0;technical
272;81.0;0.93;5;270;5;0;1;0;technical
273;9.0;0.96;6;296;4;0;1;0;technical
274;11.0;0.9;6;254;4;0;1;0;technical
275;81.0;0.95;5;238;6;0;1;0;technical
276;10.0;0.97;6;267;4;1;1;0;support
277;74.0;0.89;5;229;6;0;1;0;support
278;9.0;0.78;6;254;4;0;1;0;support
279;82.0;0.81;4;233;4;1;1;0;support
280;10.0;0.98;6;268;4;0;1;0;support
281;27.0;0.56;3;301;3;0;1;0;support
282;83.0;0.92;5;267;6;0;1;0;support
283;10.0;0.93;6;289;4;1;1;0;support
284;38.0;0.47;2;144;3;0;1;0;support
285;40.0;0.56;2;148;3;0;1;0;support
286;11.0;0.83;6;306;4;0;1;0;support
287;11.0;0.79;6;292;4;0;1;1;technical
288;82.0;0.91;5;232;5;0;1;0;technical
289;36.0;0.48;2;137;3;0;1;0;technical
290;40.0;0.46;2;128;3;0;1;0;management
291;87.0;0.84;5;231;5;0;1;0;IT
292;41.0;0.49;2;146;3;0;1;0;IT
293;11.0;0.91;6;308;4;1;1;0;IT
294;10.0;0.93;6;253;4;0;1;0;IT
295;38.0;0.51;2;146;3;0;1;0;IT
296;39.0;0.55;2;156;3;0;1;0;product_mng
297;40.0;0.52;2;147;3;0;1;0;product_mng
298;45.0;0.48;2;136;3;0;1;0;product_mng
299;74.0;0.84;5;249;5;0;1;0;product_mng
300;45.0;0.55;2;151;3;0;1;0;IT
301;12.0;1.0;3;278;4;0;1;0;RandD
302;10.0;0.77;7;250;5;0;1;0;RandD
303;37.0;0.55;2;127;3;0;1;0;RandD
304;89.0;0.87;5;255;5;0;1;0;RandD
305;45.0;0.47;2;135;3;0;1;0;RandD
306;37.0;0.46;2;149;3;0;1;0;marketing
307;11.0;0.81;5;287;4;0;1;0;sales
308;41.0;0.48;2;145;3;0;1;0;accounting
309;10.0;0.94;6;285;4;0;1;0;support
310;10.0;0.93;7;305;4;0;1;0;technical
311;11.0;0.95;7;300;4;0;1;0;management
312;40.0;0.54;2;139;3;0;1;0;marketing
313;41.0;0.49;2;130;3;0;1;0;marketing
314;10.0;0.81;6;268;4;0;1;0;marketing
315;73.0;0.86;4;245;6;0;1;0;sales
316;43.0;0.47;2;135;3;0;1;0;sales
317;37.0;0.46;2;153;3;0;1;0;sales
318;11.0;0.94;6;276;4;0;1;0;sales
319;40.0;0.46;2;130;3;0;1;0;sales
320;41.0;0.54;2;153;3;1;1;0;sales
321;82.0;0.84;5;244;5;0;1;0;sales
322;61.0;0.47;2;253;3;0;1;0;sales
323;11.0;0.91;7;287;4;0;1;0;sales
324;37.0;0.45;2;131;3;0;1;0;sales
325;41.0;0.52;2;135;3;0;1;0;sales
326;37.0;0.52;2;157;3;0;1;0;sales
327;88.0;0.99;5;262;6;0;1;0;sales
328;10.0;0.85;6;266;4;0;1;0;sales
329;44.0;0.48;2;148;3;0;1;0;sales
330;38.0;0.57;2;140;3;0;1;0;sales
331;11.0;0.85;7;302;4;0;1;0;sales
332;9.0;0.98;6;271;4;0;1;0;sales
333;45.0;0.52;2;145;3;0;1;0;sales
334;10.0;0.81;6;290;4;0;1;0;accounting
335;45.0;0.47;2;151;3;0;1;0;accounting
336;77.0;0.87;5;266;5;0;1;0;accounting
337;44.0;0.51;2;140;3;0;1;0;hr
338;39.0;0.5;2;142;3;0;1;0;hr
339;10.0;0.91;6;246;4;0;1;0;hr
340;9.0;0.89;7;308;5;0;1;0;hr
341;37.0;0.47;2;141;3;0;1;0;technical
342;90.0;1.0;5;232;5;0;1;0;technical
343;41.0;0.56;2;143;3;0;1;0;technical
344;37.0;0.52;2;155;3;0;1;0;technical
345;10.0;0.86;6;278;4;0;1;0;technical
346;81.0;1.0;4;253;5;0;1;0;technical
347;11.0;0.8;6;282;4;0;1;0;technical
348;11.0;0.84;7;264;4;0;1;0;technical
349;40.0;0.46;2;149;3;0;1;0;technical
350;9.0;0.8;6;304;5;0;1;0;technical
351;48.0;0.93;3;219;6;0;1;0;technical
352;91.0;0.91;4;262;6;0;1;0;support
353;43.0;0.57;2;135;3;0;1;0;support
354;33.0;0.88;6;219;5;0;1;0;support
355;41.0;0.57;2;136;3;0;1;0;support
356;41.0;0.55;2;154;3;0;1;0;support
357;37.0;0.54;2;149;3;0;1;0;support
358;31.0;0.62;6;135;5;0;1;0;support
359;9.0;0.91;6;275;4;0;1;0;support
360;10.0;0.87;6;290;4;0;1;0;support
361;76.0;0.9;4;263;5;0;1;0;support
362;41.0;0.54;2;145;3;0;1;0;support
363;72.0;0.96;5;267;5;0;1;0;technical
364;40.0;0.5;2;141;3;1;1;0;technical
365;91.0;0.87;4;235;5;0;1;0;technical
366;10.0;0.83;6;258;4;0;1;0;management
367;40.0;0.56;2;131;3;0;1;0;IT
368;82.0;0.86;5;243;5;0;1;0;IT
369;10.0;0.82;6;266;4;0;1;0;IT
370;37.0;0.45;2;142;3;0;1;0;IT
371;36.0;0.51;2;135;3;0;1;0;IT
372;39.0;0.48;2;141;3;0;1;0;product_mng
373;36.0;0.57;2;142;3;0;1;0;product_mng
374;86.0;0.84;5;254;5;0;1;0;product_mng
375;73.0;0.99;5;262;5;0;1;0;product_mng
376;56.00000000000001;0.71;4;296;2;0;1;0;IT
377;44.0;0.56;2;158;3;0;1;0;accounting
378;31.0;0.56;4;238;2;0;1;0;accounting
379;77.0;0.93;4;231;5;0;1;0;hr
380;44.0;0.45;2;156;3;0;1;0;hr
381;38.0;0.46;2;145;3;0;1;0;hr
382;45.0;0.48;2;144;3;0;1;0;marketing
383;38.0;0.51;2;159;3;0;1;0;sales
384;36.0;0.48;2;156;3;0;1;0;accounting
385;75.0;0.9;5;256;5;0;1;0;support
386;10.0;0.93;6;298;4;0;1;0;technical
387;10.0;0.97;6;247;4;0;1;0;management
388;45.0;0.5;2;157;3;0;1;0;marketing
389;42.0;0.57;2;154;3;1;1;0;marketing
390;78.0;1.0;4;253;5;0;1;0;marketing
391;45.0;0.55;2;148;3;0;1;0;sales
392;84.0;1.0;4;261;5;0;1;0;sales
393;11.0;0.93;6;282;4;0;1;0;sales
394;42.0;0.56;2;133;3;0;1;0;sales
395;45.0;0.46;2;128;3;0;1;0;sales
396;46.0;0.57;2;139;3;0;1;0;sales
397;9.0;0.79;6;293;5;0;1;0;sales
398;87.0;0.83;4;265;6;0;1;0;sales
399;10.0;0.87;6;250;4;0;1;0;sales
400;91.0;1.0;5;251;6;0;1;0;sales
401;76.0;0.92;4;246;5;0;1;0;sales
402;74.0;1.0;5;275;5;0;1;0;sales
403;92.0;0.93;5;240;5;0;1;0;sales
404;76.0;0.87;5;245;5;0;1;0;sales
405;47.0;0.5;4;254;4;0;1;0;sales
406;73.0;0.99;5;241;5;0;1;0;sales
407;9.0;0.94;6;257;4;0;1;0;sales
408;91.0;0.92;4;246;5;0;1;0;sales
409;82.0;0.98;4;233;5;0;1;0;sales
410;28.000000000000004;0.45;6;218;4;0;1;0;accounting
411;84.0;0.99;4;262;6;0;1;0;accounting
412;45.0;0.53;2;138;3;0;1;0;accounting
413;45.0;0.54;2;142;3;0;1;0;hr
414;91.0;0.97;5;233;5;0;1;0;hr
415;42.0;0.48;2;155;3;0;1;0;hr
416;82.0;1.0;4;229;6;0;1;0;hr
417;11.0;0.9;6;264;4;0;1;0;technical
418;42.0;0.53;3;199;4;0;1;0;technical
419;82.0;0.85;4;223;5;0;1;0;technical
420;9.0;0.96;6;268;4;0;1;0;technical
421;10.0;0.94;6;287;4;0;1;0;technical
422;86.0;1.0;5;257;5;0;1;0;technical
423;40.0;0.46;2;143;3;0;1;0;technical
424;45.0;0.46;2;130;3;0;1;0;technical
425;42.0;0.51;2;136;3;0;1;0;technical
426;74.0;0.92;4;261;5;0;1;0;technical
427;55.00000000000001;0.6;3;180;4;0;1;0;technical
428;37.0;0.45;2;126;3;0;1;0;support
429;41.0;0.52;2;127;3;1;1;0;support
430;89.0;0.65;5;195;6;0;1;0;support
431;41.0;0.57;2;160;3;0;1;0;support
432;44.0;0.51;2;150;3;0;1;0;support
433;87.0;0.84;4;264;6;0;1;0;support
434;10.0;0.84;6;309;4;0;1;0;support
435;41.0;0.47;2;135;3;0;1;0;support
436;11.0;0.85;6;261;4;0;1;0;support
437;43.0;0.53;2;160;3;0;1;0;support
438;77.0;0.9;4;237;5;0;1;0;support
439;41.0;0.52;2;136;3;0;1;0;technical
440;41.0;0.48;2;139;3;0;1;0;technical
441;36.0;0.78;2;151;4;0;1;0;technical
442;77.0;1.0;5;229;5;0;1;0;management
443;81.0;0.98;5;245;5;0;1;0;IT
444;39.0;0.54;2;127;3;0;1;0;IT
445;9.0;0.94;6;283;5;0;1;0;IT
446;44.0;0.46;2;143;3;0;1;0;IT
447;10.0;0.84;5;298;4;0;1;0;IT
448;36.0;0.48;2;159;3;0;1;0;product_mng
449;81.0;0.92;5;239;5;0;1;0;product_mng
450;81.0;0.9;4;226;5;0;1;0;product_mng
451;85.0;0.98;5;248;5;0;1;0;product_mng
452;10.0;0.87;6;286;4;0;1;0;IT
453;37.0;0.54;2;145;3;0;1;0;RandD
454;9.0;0.97;7;254;4;1;1;0;RandD
455;44.0;0.53;2;127;3;0;1;0;RandD
456;86.0;0.93;5;223;5;0;1;0;RandD
457;77.0;1.0;4;255;5;0;1;0;RandD
458;41.0;0.48;2;136;3;0;1;0;marketing
459;40.0;0.48;2;137;3;0;1;0;sales
460;43.0;0.49;2;135;3;0;1;0;accounting
461;43.0;0.5;2;137;3;0;1;0;support
462;80.0;0.53;3;255;5;0;1;0;technical
463;80.0;0.85;4;273;5;0;1;0;management
464;82.0;0.98;5;234;5;0;1;0;marketing
465;37.0;0.54;2;152;3;0;1;0;marketing
466;37.0;0.48;2;134;3;0;1;0;marketing
467;9.0;0.95;6;292;4;0;1;0;sales
468;90.0;0.92;5;245;5;0;1;0;sales
469;41.0;0.52;2;159;3;0;1;0;sales
470;10.0;0.85;6;260;4;0;1;0;sales
471;44.0;0.53;2;149;3;0;1;0;sales
472;89.0;0.85;5;266;5;0;1;0;sales
473;42.0;0.56;2;149;3;0;1;0;sales
474;87.0;1.0;5;242;5;0;1;0;sales
475;45.0;0.57;2;134;3;0;1;0;sales
476;11.0;0.87;5;271;4;0;1;0;sales
477;9.0;0.79;6;275;4;0;1;0;sales
478;76.0;0.83;5;227;5;0;1;0;sales
479;11.0;0.96;7;277;5;0;1;0;sales
480;37.0;0.49;2;151;3;0;1;0;sales
481;10.0;0.79;6;274;4;0;1;0;sales
482;77.0;0.87;4;242;6;0;1;0;sales
483;42.0;0.54;2;143;3;1;1;0;sales
484;38.0;0.52;2;145;3;0;1;0;sales
485;32.0;0.95;5;172;2;0;1;0;sales
486;38.0;0.49;2;135;3;0;1;0;accounting
487;19.0;1.0;4;192;4;0;1;0;accounting
488;10.0;0.83;7;276;4;0;1;0;accounting
489;76.0;0.88;4;206;4;0;1;0;hr
490;53.0;0.56;4;281;6;0;1;0;hr
491;39.0;0.51;2;151;3;0;1;0;hr
492;11.0;0.83;6;244;4;0;1;0;hr
493;10.0;0.94;6;309;4;0;1;0;technical
494;84.0;1.0;5;218;5;0;1;0;technical
495;82.0;0.99;4;263;6;0;1;0;technical
496;10.0;0.82;6;244;4;0;1;0;technical
497;59.0;0.49;7;263;4;0;1;0;technical
498;44.0;0.48;2;143;3;0;1;0;technical
499;89.0;0.95;2;181;5;0;1;0;technical
500;91.0;0.84;5;265;5;0;1;0;technical
501;66.0;0.57;5;161;5;0;1;0;technical
502;11.0;0.87;7;282;5;0;1;0;technical
503;43.0;0.51;2;155;3;0;1;0;technical
504;78.0;0.83;4;217;6;0;1;0;support
505;11.0;0.97;6;289;5;0;1;0;support
506;83.0;0.98;4;259;5;0;1;0;support
507;39.0;0.54;2;158;3;0;1;0;support
508;38.0;0.55;2;158;3;0;1;0;support
509;37.0;0.57;2;155;3;0;1;0;support
510;44.0;0.48;2;146;3;0;1;0;support
511;53.0;0.85;2;164;5;0;1;0;support
512;9.0;0.96;6;259;4;0;1;0;support
513;11.0;0.89;6;293;4;0;1;0;support
514;83.0;0.96;5;275;5;0;1;0;support
515;88.0;1.0;5;219;6;1;1;0;technical
516;10.0;0.89;6;247;4;0;1;0;technical
517;9.0;0.86;7;309;4;0;1;0;technical
518;44.0;0.54;2;151;3;0;1;0;management
519;39.0;0.51;2;129;3;0;1;0;IT
520;87.0;0.94;4;274;5;0;1;0;IT
521;74.0;0.99;4;233;5;0;1;0;IT
522;10.0;0.95;7;289;4;0;1;0;IT
523;74.0;0.82;4;239;6;0;1;0;IT
524;75.0;0.99;5;221;5;0;1;0;product_mng
525;41.0;0.56;2;150;3;0;1;0;product_mng
526;41.0;0.45;2;144;3;1;1;0;product_mng
527;9.0;0.9;7;289;4;0;1;0;product_mng
528;9.0;0.8;6;301;5;0;1;0;IT
529;39.0;0.57;2;145;3;0;1;0;accounting
530;40.0;0.56;2;137;3;0;1;0;accounting
531;37.0;0.54;2;131;3;1;1;0;hr
532;10.0;0.84;6;246;4;0;1;0;hr
533;43.0;0.51;2;136;3;0;1;0;hr
534;75.0;0.85;5;240;6;1;1;0;marketing
535;37.0;0.56;2;156;3;0;1;0;sales
536;11.0;0.85;6;305;4;0;1;0;accounting
537;45.0;0.45;2;154;3;1;1;0;support
538;87.0;1.0;5;261;5;1;1;0;technical
539;11.0;0.94;7;244;4;0;1;0;management
540;45.0;0.54;2;129;3;0;1;0;marketing
541;81.0;0.87;4;254;5;0;1;0;marketing
542;77.0;0.91;5;236;5;0;1;0;marketing
543;89.0;0.92;5;237;5;0;1;0;sales
544;43.0;0.49;2;135;3;0;1;0;sales
545;78.0;1.0;5;236;5;0;1;0;sales
546;37.0;0.47;2;149;3;0;1;0;sales
547;37.0;0.5;2;141;3;0;1;0;sales
548;85.0;0.82;4;270;5;0;1;0;sales
549;41.0;0.47;2;138;3;0;1;0;sales
550;11.0;0.96;6;298;4;0;1;0;sales
551;75.0;0.99;5;254;5;0;1;0;sales
