,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
194,89.0,0.95,4,275,5,0,1,0,technical,medium
195,9.0,0.8,6,304,4,0,1,0,technical,low
196,27.0,0.54,7,278,3,0,1,0,technical,low
197,10.0,0.91,6,287,4,0,1,0,technical,low
198,10.0,0.89,7,285,4,0,1,0,technical,low
199,77.0,0.94,5,226,6,0,1,0,support,low
200,90.0,0.82,5,259,5,0,1,0,support,low
201,39.0,0.5,2,135,3,0,1,0,support,low
202,76.0,1.0,5,219,5,0,1,0,support,low
203,10.0,0.93,6,256,4,0,1,0,support,low
204,87.0,0.9,5,254,6,0,1,0,support,low
205,38.0,0.5,2,153,3,0,1,0,support,low
206,77.0,0.99,5,228,5,0,1,0,support,low
207,78.0,0.87,4,228,5,0,1,0,support,low
208,44.0,0.5,2,128,3,0,1,0,support,low
209,38.0,0.52,2,153,3,0,1,0,support,low
210,43.0,0.46,2,156,3,0,1,0,technical,low
211,39.0,0.5,4,294,3,0,1,0,technical,low
212,88.0,1.0,5,219,5,0,1,0,technical,low
213,45.0,0.46,2,153,3,0,1,0,management,low
214,40.0,0.53,2,151,3,0,1,0,IT,low
215,36.0,0.51,2,155,3,0,1,0,IT,low
216,36.0,0.48,2,158,3,0,1,0,IT,low
217,90.0,0.98,5,245,5,0,1,0,IT,low
218,43.0,0.53,2,131,3,0,1,0,IT,low
219,89.0,0.87,5,225,5,0,1,0,product_mng,low
220,10.0,0.84,6,286,4,0,1,0,product_mng,low
221,37.0,0.5,2,135,3,0,1,0,product_mng,low
222,37.0,0.51,2,153,3,0,1,0,product_mng,low
223,87.0,0.9,5,252,5,0,1,0,IT,low
224,40.0,0.56,2,149,3,0,1,0,accounting,low
225,90.0,0.97,4,258,5,0,1,0,accounting,low
226,37.0,0.46,2,158,3,0,1,0,hr,low
227,44.0,0.54,2,149,3,0,1,0,hr,low
228,85.0,0.95,5,236,5,0,1,0,hr,low
229,78.0,0.98,5,239,6,0,1,0,marketing,low
230,42.0,0.47,2,159,3,0,1,0,marketing,low
231,92.0,0.99,5,255,6,0,1,0,sales,low
232,11.0,0.83,6,244,4,0,1,0,accounting,low
233,42.0,0.56,2,134,3,0,1,0,support,low
234,48.0,0.57,4,270,4,0,1,0,technical,low
235,83.0,0.85,4,255,5,0,1,0,management,low
236,40.0,0.53,2,151,3,0,1,0,marketing,low
237,43.0,0.45,2,135,3,0,1,0,marketing,low
238,43.0,0.53,2,146,3,0,1,0,marketing,low
239,10.0,0.97,7,254,4,0,1,0,sales,low
240,10.0,0.87,7,289,4,0,1,0,sales,low
241,37.0,0.46,2,156,3,0,1,0,sales,low
242,38.0,0.53,2,156,3,0,1,0,sales,low
243,40.0,0.5,2,128,3,0,1,0,sales,low
244,89.0,0.86,5,275,5,0,1,0,sales,low
245,45.0,0.46,2,155,3,0,1,0,sales,low
246,37.0,0.48,2,159,3,0,1,0,sales,low
247,46.0,0.49,2,148,3,0,1,0,sales,low
248,87.0,0.91,4,228,5,0,1,0,sales,low
249,11.0,0.84,6,298,4,0,1,0,sales,low
250,79.0,0.87,5,261,5,0,1,0,sales,low
251,79.0,0.92,5,254,6,0,1,0,sales,low
252,19.0,0.59,7,192,3,0,1,0,sales,low
253,87.0,0.98,4,248,5,0,1,0,sales,low
254,60.0,0.92,2,258,5,0,1,0,sales,low
255,44.0,0.45,2,156,3,0,1,0,sales,medium
256,11.0,0.81,6,266,4,1,1,0,sales,medium
257,42.0,0.54,2,156,3,0,1,0,sales,medium
258,88.0,0.88,5,232,5,1,1,0,accounting,medium
259,11.0,0.84,6,287,4,0,1,0,accounting,medium
260,46.0,0.46,2,154,3,0,1,0,accounting,medium
261,82.0,0.97,5,263,5,0,1,0,hr,medium
262,44.0,0.56,2,131,3,0,1,0,hr,medium
263,11.0,0.78,6,260,4,0,1,0,hr,medium
264,42.0,0.5,2,139,3,0,1,0,hr,medium
265,84.0,0.93,4,251,5,0,1,0,technical,medium
266,11.0,0.95,6,286,4,0,1,0,technical,medium
267,45.0,0.53,2,129,3,0,1,0,technical,high
268,38.0,0.56,2,156,3,0,1,0,technical,low
269,38.0,0.86,6,139,6,0,1,0,technical,medium
270,44.0,0.51,2,127,3,0,1,0,technical,medium
271,11.0,0.84,6,251,4,0,1,0,technical,medium
272,81.0,0.93,5,270,5,0,1,0,technical,medium
273,9.0,0.96,6,296,4,0,1,0,technical,low
274,11.0,0.9,6,254,4,0,1,0,technical,low
275,81.0,0.95,5,238,6,0,1,0,technical,low
276,10.0,0.97,6,267,4,1,1,0,support,low
277,74.0,0.89,5,229,6,0,1,0,support,low
278,9.0,0.78,6,254,4,0,1,0,support,low
279,82.0,0.81,4,233,4,1,1,0,support,low
280,10.0,0.98,6,268,4,0,1,0,support,low
281,27.0,0.56,3,301,3,0,1,0,support,low
282,83.0,0.92,5,267,6,0,1,0,support,low
283,10.0,0.93,6,289,4,1,1,0,support,low
284,38.0,0.47,2,144,3,0,1,0,support,low
285,40.0,0.56,2,148,3,0,1,0,support,low
286,11.0,0.83,6,306,4,0,1,0,support,low
287,11.0,0.79,6,292,4,0,1,1,technical,low
288,82.0,0.91,5,232,5,0,1,0,technical,low
289,36.0,0.48,2,137,3,0,1,0,technical,low
290,40.0,0.46,2,128,3,0,1,0,management,low
291,87.0,0.84,5,231,5,0,1,0,IT,low
292,41.0,0.49,2,146,3,0,1,0,IT,low
293,11.0,0.91,6,308,4,1,1,0,IT,low
294,10.0,0.93,6,253,4,0,1,0,IT,medium
295,38.0,0.51,2,146,3,0,1,0,IT,medium
296,39.0,0.55,2,156,3,0,1,0,product_mng,medium
297,40.0,0.52,2,147,3,0,1,0,product_mng,medium
298,45.0,0.48,2,136,3,0,1,0,product_mng,medium
299,74.0,0.84,5,249,5,0,1,0,product_mng,medium
300,45.0,0.55,2,151,3,0,1,0,IT,medium
301,12.0,1.0,3,278,4,0,1,0,RandD,medium
302,10.0,0.77,7,250,5,0,1,0,RandD,medium
303,37.0,0.55,2,127,3,0,1,0,RandD,medium
304,89.0,0.87,5,255,5,0,1,0,RandD,medium
305,45.0,0.47,2,135,3,0,1,0,RandD,medium
306,37.0,0.46,2,149,3,0,1,0,marketing,high
307,11.0,0.81,5,287,4,0,1,0,sales,low
308,41.0,0.48,2,145,3,0,1,0,accounting,medium
309,10.0,0.94,6,285,4,0,1,0,support,medium
310,10.0,0.93,7,305,4,0,1,0,technical,medium
311,11.0,0.95,7,300,4,0,1,0,management,medium
312,40.0,0.54,2,139,3,0,1,0,marketing,low
313,41.0,0.49,2,130,3,0,1,0,marketing,low
314,10.0,0.81,6,268,4,0,1,0,marketing,low
315,73.0,0.86,4,245,6,0,1,0,sales,low
316,43.0,0.47,2,135,3,0,1,0,sales,low
317,37.0,0.46,2,153,3,0,1,0,sales,low
318,11.0,0.94,6,276,4,0,1,0,sales,low
319,40.0,0.46,2,130,3,0,1,0,sales,low
320,41.0,0.54,2,153,3,1,1,0,sales,low
321,82.0,0.84,5,244,5,0,1,0,sales,low
322,61.0,0.47,2,253,3,0,1,0,sales,low
323,11.0,0.91,7,287,4,0,1,0,sales,low
324,37.0,0.45,2,131,3,0,1,0,sales,low
325,41.0,0.52,2,135,3,0,1,0,sales,low
326,37.0,0.52,2,157,3,0,1,0,sales,low
327,88.0,0.99,5,262,6,0,1,0,sales,low
328,10.0,0.85,6,266,4,0,1,0,sales,low
329,44.0,0.48,2,148,3,0,1,0,sales,low
330,38.0,0.57,2,140,3,0,1,0,sales,low
331,11.0,0.85,7,302,4,0,1,0,sales,low
332,9.0,0.98,6,271,4,0,1,0,sales,low
333,45.0,0.52,2,145,3,0,1,0,sales,medium
334,10.0,0.81,6,290,4,0,1,0,accounting,medium
335,45.0,0.47,2,151,3,0,1,0,accounting,medium
336,77.0,0.87,5,266,5,0,1,0,accounting,medium
337,44.0,0.51,2,140,3,0,1,0,hr,medium
338,39.0,0.5,2,142,3,0,1,0,hr,medium
339,10.0,0.91,6,246,4,0,1,0,hr,medium
340,9.0,0.89,7,308,5,0,1,0,hr,medium
341,37.0,0.47,2,141,3,0,1,0,technical,medium
342,90.0,1.0,5,232,5,0,1,0,technical,medium
343,41.0,0.56,2,143,3,0,1,0,technical,medium
344,37.0,0.52,2,155,3,0,1,0,technical,medium
345,10.0,0.86,6,278,4,0,1,0,technical,high
346,81.0,1.0,4,253,5,0,1,0,technical,low
347,11.0,0.8,6,282,4,0,1,0,technical,medium
348,11.0,0.84,7,264,4,0,1,0,technical,medium
349,40.0,0.46,2,149,3,0,1,0,technical,medium
350,9.0,0.8,6,304,5,0,1,0,technical,medium
351,48.0,0.93,3,219,6,0,1,0,technical,low
352,91.0,0.91,4,262,6,0,1,0,support,low
353,43.0,0.57,2,135,3,0,1,0,support,low
354,33.0,0.88,6,219,5,0,1,0,support,low
355,41.0,0.57,2,136,3,0,1,0,support,low
356,41.0,0.55,2,154,3,0,1,0,support,low
357,37.0,0.54,2,149,3,0,1,0,support,low
358,31.0,0.62,6,135,5,0,1,0,support,low
359,9.0,0.91,6,275,4,0,1,0,support,low
360,10.0,0.87,6,290,4,0,1,0,support,low
361,76.0,0.9,4,263,5,0,1,0,support,low
362,41.0,0.54,2,145,3,0,1,0,support,low
363,72.0,0.96,5,267,5,0,1,0,technical,low
364,40.0,0.5,2,141,3,1,1,0,technical,low
365,91.0,0.87,4,235,5,0,1,0,technical,low
366,10.0,0.83,6,258,4,0,1,0,management,low
367,40.0,0.56,2,131,3,0,1,0,IT,low
368,82.0,0.86,5,243,5,0,1,0,IT,low
369,10.0,0.82,6,266,4,0,1,0,IT,low
370,37.0,0.45,2,142,3,0,1,0,IT,low
371,36.0,0.51,2,135,3,0,1,0,IT,low
372,39.0,0.48,2,141,3,0,1,0,product_mng,medium
373,36.0,0.57,2,142,3,0,1,0,product_mng,medium
374,86.0,0.84,5,254,5,0,1,0,product_mng,medium
375,73.0,0.99,5,262,5,0,1,0,product_mng,medium
376,56.00000000000001,0.71,4,296,2,0,1,0,IT,medium
377,44.0,0.56,2,158,3,0,1,0,accounting,medium
378,31.0,0.56,4,238,2,0,1,0,accounting,medium
379,77.0,0.93,4,231,5,0,1,0,hr,medium
380,44.0,0.45,2,156,3,0,1,0,hr,medium
381,38.0,0.46,2,145,3,0,1,0,hr,medium
382,45.0,0.48,2,144,3,0,1,0,marketing,medium
383,38.0,0.51,2,159,3,0,1,0,sales,medium
384,36.0,0.48,2,156,3,0,1,0,accounting,high
385,75.0,0.9,5,256,5,0,1,0,support,low
386,10.0,0.93,6,298,4,0,1,0,technical,medium
387,10.0,0.97,6,247,4,0,1,0,management,medium
388,45.0,0.5,2,157,3,0,1,0,marketing,medium
389,42.0,0.57,2,154,3,1,1,0,marketing,medium
390,78.0,1.0,4,253,5,0,1,0,marketing,low
391,45.0,0.55,2,148,3,0,1,0,sales,low
392,84.0,1.0,4,261,5,0,1,0,sales,low
393,11.0,0.93,6,282,4,0,1,0,sales,low
394,42.0,0.56,2,133,3,0,1,0,sales,low
395,45.0,0.46,2,128,3,0,1,0,sales,low
396,46.0,0.57,2,139,3,0,1,0,sales,low
397,9.0,0.79,6,293,5,0,1,0,sales,low
398,87.0,0.83,4,265,6,0,1,0,sales,low
399,10.0,0.87,6,250,4,0,1,0,sales,low
400,91.0,1.0,5,251,6,0,1,0,sales,low
401,76.0,0.92,4,246,5,0,1,0,sales,low
402,74.0,1.0,5,275,5,0,1,0,sales,low
403,92.0,0.93,5,240,5,0,1,0,sales,low
404,76.0,0.87,5,245,5,0,1,0,sales,low
405,47.0,0.5,4,254,4,0,1,0,sales,low
406,73.0,0.99,5,241,5,0,1,0,sales,low
407,9.0,0.94,6,257,4,0,1,0,sales,low
408,91.0,0.92,4,246,5,0,1,0,sales,low
409,82.0,0.98,4,233,5,0,1,0,sales,low
410,28.000000000000004,0.45,6,218,4,0,1,0,accounting,low
411,84.0,0.99,4,262,6,0,1,0,accounting,medium
412,45.0,0.53,2,138,3,0,1,0,accounting,medium
413,45.0,0.54,2,142,3,0,1,0,hr,medium
414,91.0,0.97,5,233,5,0,1,0,hr,medium
415,42.0,0.48,2,155,3,0,1,0,hr,medium
416,82.0,1.0,4,229,6,0,1,0,hr,medium
417,11.0,0.9,6,264,4,0,1,0,technical,medium
418,42.0,0.53,3,199,4,0,1,0,technical,medium
419,82.0,0.85,4,223,5,0,1,0,technical,medium
420,9.0,0.96,6,268,4,0,1,0,technical,medium
421,10.0,0.94,6,287,4,0,1,0,technical,medium
422,86.0,1.0,5,257,5,0,1,0,technical,medium
423,40.0,0.46,2,143,3,0,1,0,technical,high
424,45.0,0.46,2,130,3,0,1,0,technical,low
425,42.0,0.51,2,136,3,0,1,0,technical,medium
426,74.0,0.92,4,261,5,0,1,0,technical,medium
427,55.00000000000001,0.6,3,180,4,0,1,0,technical,medium
428,37.0,0.45,2,126,3,0,1,0,support,medium
429,41.0,0.52,2,127,3,1,1,0,support,low
430,89.0,0.65,5,195,6,0,1,0,support,low
431,41.0,0.57,2,160,3,0,1,0,support,low
432,44.0,0.51,2,150,3,0,1,0,support,low
433,87.0,0.84,4,264,6,0,1,0,support,low
434,10.0,0.84,6,309,4,0,1,0,support,low
435,41.0,0.47,2,135,3,0,1,0,support,low
436,11.0,0.85,6,261,4,0,1,0,support,low
437,43.0,0.53,2,160,3,0,1,0,support,low
438,77.0,0.9,4,237,5,0,1,0,support,low
439,41.0,0.52,2,136,3,0,1,0,technical,low
440,41.0,0.48,2,139,3,0,1,0,technical,low
441,36.0,0.78,2,151,4,0,1,0,technical,low
442,77.0,1.0,5,229,5,0,1,0,management,low
443,81.0,0.98,5,245,5,0,1,0,IT,low
444,39.0,0.54,2,127,3,0,1,0,IT,low
445,9.0,0.94,6,283,5,0,1,0,IT,low
446,44.0,0.46,2,143,3,0,1,0,IT,low
447,10.0,0.84,5,298,4,0,1,0,IT,low
448,36.0,0.48,2,159,3,0,1,0,product_mng,low
449,81.0,0.92,5,239,5,0,1,0,product_mng,low
450,81.0,0.9,4,226,5,0,1,0,product_mng,medium
451,85.0,0.98,5,248,5,0,1,0,product_mng,medium
452,10.0,0.87,6,286,4,0,1,0,IT,medium
453,37.0,0.54,2,145,3,0,1,0,RandD,medium
454,9.0,0.97,7,254,4,1,1,0,RandD,medium
455,44.0,0.53,2,127,3,0,1,0,RandD,medium
456,86.0,0.93,5,223,5,0,1,0,RandD,medium
457,77.0,1.0,4,255,5,0,1,0,RandD,medium
458,41.0,0.48,2,136,3,0,1,0,marketing,medium
459,40.0,0.48,2,137,3,0,1,0,sales,medium
460,43.0,0.49,2,135,3,0,1,0,accounting,medium
461,43.0,0.5,2,137,3,0,1,0,support,medium
462,80.0,0.53,3,255,5,0,1,0,technical,high
463,80.0,0.85,4,273,5,0,1,0,management,low
464,82.0,0.98,5,234,5,0,1,0,marketing,medium
465,37.0,0.54,2,152,3,0,1,0,marketing,medium
466,37.0,0.48,2,134,3,0,1,0,marketing,medium
467,9.0,0.95,6,292,4,0,1,0,sales,medium
468,90.0,0.92,5,245,5,0,1,0,sales,low
469,41.0,0.52,2,159,3,0,1,0,sales,low
470,10.0,0.85,6,260,4,0,1,0,sales,low
471,44.0,0.53,2,149,3,0,1,0,sales,low
472,89.0,0.85,5,266,5,0,1,0,sales,low
473,42.0,0.56,2,149,3,0,1,0,sales,low
474,87.0,1.0,5,242,5,0,1,0,sales,low
475,45.0,0.57,2,134,3,0,1,0,sales,low
476,11.0,0.87,5,271,4,0,1,0,sales,low
477,9.0,0.79,6,275,4,0,1,0,sales,low
478,76.0,0.83,5,227,5,0,1,0,sales,low
479,11.0,0.96,7,277,5,0,1,0,sales,low
480,37.0,0.49,2,151,3,0,1,0,sales,low
481,10.0,0.79,6,274,4,0,1,0,sales,low
482,77.0,0.87,4,242,6,0,1,0,sales,low
483,42.0,0.54,2,143,3,1,1,0,sales,low
484,38.0,0.52,2,145,3,0,1,0,sales,low
485,32.0,0.95,5,172,2,0,1,0,sales,low
486,38.0,0.49,2,135,3,0,1,0,accounting,low
487,19.0,1.0,4,192,4,0,1,0,accounting,low
488,10.0,0.83,7,276,4,0,1,0,accounting,low
489,76.0,0.88,4,206,4,0,1,0,hr,medium
490,53.0,0.56,4,281,6,0,1,0,hr,medium
491,39.0,0.51,2,151,3,0,1,0,hr,medium
492,11.0,0.83,6,244,4,0,1,0,hr,medium
493,10.0,0.94,6,309,4,0,1,0,technical,medium
494,84.0,1.0,5,218,5,0,1,0,technical,medium
495,82.0,0.99,4,263,6,0,1,0,technical,medium
496,10.0,0.82,6,244,4,0,1,0,technical,medium
497,59.0,0.49,7,263,4,0,1,0,technical,medium
498,44.0,0.48,2,143,3,0,1,0,technical,medium
499,89.0,0.95,2,181,5,0,1,0,technical,medium
500,91.0,0.84,5,265,5,0,1,0,technical,medium
501,66.0,0.57,5,161,5,0,1,0,technical,high
502,11.0,0.87,7,282,5,0,1,0,technical,low
503,43.0,0.51,2,155,3,0,1,0,technical,medium
504,78.0,0.83,4,217,6,0,1,0,support,medium
